Kode #Nama Barang,Kode #,Nama Barang
200191WAJAN BESI UK 50',200191,WAJAN BESI UK 50'
200192WAJAN BESI UK 70',200192,WAJAN BESI UK 70'
200193WAJAN RAKSASA UK 80',200193,WAJAN RAKSASA UK 80'
200194WAJAN TEFLON CEKUNG,200194,WAJAN TEFLON CEKUNG
200196CUP 12,200196,CUP 12
200197CUP 14,200197,CUP 14
200198CUP 16,200198,CUP 16
200199CUP SEALER BESAR,200199,CUP SEALER BESAR
200200KERTAS BAKPAO 10.5 CM,200200,KERTAS BAKPAO 10.5 CM
200201KERTAS MINYAK,200201,KERTAS MINYAK
200204MIKA/CUP DIPPING,200204,MIKA/CUP DIPPING
200207PLASTIK WRAP,200207,PLASTIK WRAP
200208SEDOTAN BUBBLE,200208,SEDOTAN BUBBLE
200209SEDOTAN HITAM,200209,SEDOTAN HITAM
200210SENDOK PLASTIK,200210,SENDOK PLASTIK
200212STEROFOAM MIE,200212,STEROFOAM MIE
200213STEROFOAM DIMSUM,200213,STEROFOAM DIMSUM
200217CARBON BRUSH,200217,CARBON BRUSH
200218BALL VALVE 1'',200218,BALL VALVE 1''
200220BLACK BUTTON COVER F/ PIEZO IGNITER,200220,BLACK BUTTON COVER F/ PIEZO IGNITER
200222BURNER F/ FRY NGFT 4-60 GS 3655 (GRIDLE),200222,BURNER F/ FRY NGFT 4-60 GS 3655 (GRIDLE)
200237GAS KNOP DIA 8 MM W,200237,GAS KNOP DIA 8 MM W
200238GAS KNOP F/JP SERIES,200238,GAS KNOP F/JP SERIES
200241GAS VALVE HIGH PREASURE (CONTROL SE),200241,GAS VALVE HIGH PREASURE (CONTROL SE)
200242GAS VALVE HP DOUBLE TURBO,200242,GAS VALVE HP DOUBLE TURBO
200249MAGNET D 22 W/TREADED BOLT (SP),200249,MAGNET D 22 W/TREADED BOLT (SP)
200250MAGNIT 40 AUTO,200250,MAGNIT 40 AUTO
200256PIEZO IGNITER UK 18.MM,200256,PIEZO IGNITER UK 18.MM
200257PIEZO SPARK PLUG GS,200257,PIEZO SPARK PLUG GS
200258PIG TAIL,200258,PIG TAIL
200259PILOT 250 MM (KOMPOR HIGH PREASURE),200259,PILOT 250 MM (KOMPOR HIGH PREASURE)
200260PILOT BURNER ASSEMBLED GS,200260,PILOT BURNER ASSEMBLED GS
200261PILOT BURNER F/BUNSEN,200261,PILOT BURNER F/BUNSEN
200263PILOT SW 9000 (SP),200263,PILOT SW 9000 (SP)
200264PIN BLUE + SREW,200264,PIN BLUE + SREW
200266PISAU GILING DAGING,200266,PISAU GILING DAGING
200269RODA RAK DIMSUM,200269,RODA RAK DIMSUM
200270RODA TROLY,200270,RODA TROLY
200271SAFETY GAS COOK (GASVALVE GS3878)8325183,200271,SAFETY GAS COOK (GASVALVE GS3878)8325183
200275SARINGAN FRYER,200275,SARINGAN FRYER
200280ALAT PEL,200280,ALAT PEL
200284GAYUNG,200284,GAYUNG
200286HAND GLOVE KARET,200286,HAND GLOVE KARET
200287HAND GLOVE PLASTIK,200287,HAND GLOVE PLASTIK
200289HAND SOAP,200289,HAND SOAP
200291KAPI,200291,KAPI
200292KARBOL,200292,KARBOL
200293KARET,200293,KARET
200298KRESEK BESAR,200298,KRESEK BESAR
200299KRESEK JUMBO,200299,KRESEK JUMBO
200300KRESEK KECIL,200300,KRESEK KECIL
200301KRESEK SEDANG,200301,KRESEK SEDANG
200307NAPO CLEAN,200307,NAPO CLEAN
200308PAPAN AWAS LANTAI LICIN,200308,PAPAN AWAS LANTAI LICIN
200309PEL SKEP ( KARET ),200309,PEL SKEP ( KARET )
200311PEMBERSIH KACA MEJA,200311,PEMBERSIH KACA MEJA
200312PENGKI ( CIKRAK ),200312,PENGKI ( CIKRAK )
200313PLASTIK 1 KG,200313,PLASTIK 1 KG
200314PLASTIK 1/2 KG,200314,PLASTIK 1/2 KG
200317POLYBAG SAMPAH,200317,POLYBAG SAMPAH
200318SABUN CUCI PIRING,200318,SABUN CUCI PIRING
200319SABUN LANTAI,200319,SABUN LANTAI
200320SAPU IJUK,200320,SAPU IJUK
200321SAPU LIDI,200321,SAPU LIDI
200322SCALE OFF (PEMBERSIH TANGKI BOILER),200322,SCALE OFF (PEMBERSIH TANGKI BOILER)
200325SEAL PACK 3.5 LTR/3500 ML,200325,SEAL PACK 3.5 LTR/3500 ML
200326SEAL PACK POWDER,200326,SEAL PACK POWDER
200329SEAL PACK DIMSUM,200329,SEAL PACK DIMSUM
200332SPON CUCI PIRING,200332,SPON CUCI PIRING
200333TEMPAT SAMPAH 120 LTR,200333,TEMPAT SAMPAH 120 LTR
200334TEMPAT SAMPAH ABU-ABU 20 LTR,200334,TEMPAT SAMPAH ABU-ABU 20 LTR
200335TISSUE ROLL,200335,TISSUE ROLL
200336TISU KM,200336,TISU KM
200337TISU MEJA,200337,TISU MEJA
200338TOWEL,200338,TOWEL
200341ASBAK,200341,ASBAK
200345BASKOM KOTAK BESAR,200345,BASKOM KOTAK BESAR
200346BASKOM STAINLESS 12 CM,200346,BASKOM STAINLESS 12 CM
200347BASKOM STAINLESS 18 CM,200347,BASKOM STAINLESS 18 CM
200348BASKOM STAINLESS UK 14 CM,200348,BASKOM STAINLESS UK 14 CM
200350BASKOM STAINLESS UK 26 CM,200350,BASKOM STAINLESS UK 26 CM
200357CELEMEK HITAM ( KITCHEN ),200357,CELEMEK HITAM ( KITCHEN )
200361COOL BOX 55LTR,200361,COOL BOX 55LTR
200365EMBER,200365,EMBER
200366EMBER 6 GL,200366,EMBER 6 GL
200368EMBER MINYAK,200368,EMBER MINYAK
200375HARD COVER HIMBAUAN,200375,HARD COVER HIMBAUAN
200376HARD COVER MENU DIMSUM,200376,HARD COVER MENU DIMSUM
200377HAIRNET KAIN,200377,HAIRNET KAIN
200379LAKBAN KARTON KECIL,200379,LAKBAN KARTON KECIL
200381JERIGEN MINYAK 5LTR,200381,JERIGEN MINYAK 5LTR
200384KABEL ELEKTRODA,200384,KABEL ELEKTRODA
200392KERTAS THERMAL,200392,KERTAS THERMAL
200393KESET KOTAK KARET LUBANG,200393,KESET KOTAK KARET LUBANG
200395KONTAINER PERFORATED,200395,KONTAINER PERFORATED
200397KONTAINER SOLID,200397,KONTAINER SOLID
200400LADIES STICKER,200400,LADIES STICKER
200412LOGGER,200412,LOGGER
200417MOUSE LAPTOP / PC,200417,MOUSE LAPTOP / PC
200421NOMER MEJA,200421,NOMER MEJA
200426PAPAN TULIS,200426,PAPAN TULIS
200433REGULATOR,200433,REGULATOR
200435SELANG GAS,200435,SELANG GAS
200438STEMPEL,200438,STEMPEL
200442KABEL TIES,200442,KABEL TIES
200446TEMPAT SAMPAH BESAR UK 80 LTR,200446,TEMPAT SAMPAH BESAR UK 80 LTR
200447TEMPAT SAMPAH KECIL UK 10 LTR,200447,TEMPAT SAMPAH KECIL UK 10 LTR
200449TEMPAT TIMER,200449,TEMPAT TIMER
200450TERMOMETER,200450,TERMOMETER
200451THERMOCOUPLE,200451,THERMOCOUPLE
200484PRINTER THERMALL,200484,PRINTER THERMALL
200496CASH DRAWER,200496,CASH DRAWER
200504KIPAS ANGIN,200504,KIPAS ANGIN
200550PRINTER IW 800,200550,PRINTER IW 800
200562UPS KENIKA 600 VA,200562,UPS KENIKA 600 VA
200583BLENDER,200583,BLENDER
200584CASH BOX,200584,CASH BOX
200586HAND DRAYER,200586,HAND DRAYER
200588KOMPOR GAS 2 TUNGKU,200588,KOMPOR GAS 2 TUNGKU
200590MESIN CUP SEALER,200590,MESIN CUP SEALER
200592TIMBANGAN 100 KG,200592,TIMBANGAN 100 KG
200593TIMBANGAN DIGITAL FORTUNO 30 KG,200593,TIMBANGAN DIGITAL FORTUNO 30 KG
200594TOOL BOX,200594,TOOL BOX
200595TROLLI CLEAR UP,200595,TROLLI CLEAR UP
200596TROLLI LOADING,200596,TROLLI LOADING
200599DUST BIN KUNING 240 LTR (TEMPAT SAMPAH),200599,DUST BIN KUNING 240 LTR (TEMPAT SAMPAH)
200600MOB BUCKET (ALAT PEL SET),200600,MOB BUCKET (ALAT PEL SET)
200602ALAT PEMADAM KEBAKARAN ( APAR ),200602,ALAT PEMADAM KEBAKARAN ( APAR )
200603FILLING KABINET,200603,FILLING KABINET
200604LOCKER SET,200604,LOCKER SET
200605PEMBATAS ANTRIAN,200605,PEMBATAS ANTRIAN
200609TERMOGUN,200609,TERMOGUN
200615SERAGAM BARU UK XXL,200615,SERAGAM BARU UK XXL
200629SERAGAM SCM,200629,SERAGAM SCM
200633TOPI CREW LAKI - LAKI,200633,TOPI CREW LAKI - LAKI
200634MONITOR,200634,MONITOR
200635AKRILIC PRINTER,200635,AKRILIC PRINTER
200636BILL HOLDER,200636,BILL HOLDER
200641PALLET HIJAU (FROZEN),200641,PALLET HIJAU (FROZEN)
200642PALLET BIRU (DRY),200642,PALLET BIRU (DRY)
200658CHLORINE,200658,CHLORINE
200662LS 40 A-1 ( LONG SHUN ),200662,LS 40 A-1 ( LONG SHUN )
200664TINTA CODDING,200664,TINTA CODDING
200676REGULATOR LOW PRESSURE,200676,REGULATOR LOW PRESSURE
200684SERAGAM BARU UK ALL SIZE,200684,SERAGAM BARU UK ALL SIZE
200693MASTER CARTON (MC),200693,MASTER CARTON (MC)
200701LAKBAN KARTON BESAR,200701,LAKBAN KARTON BESAR
200706CUP SEALER BESAR,200706,CUP SEALER BESAR
200707SUMPIT (V.20),200707,SUMPIT (V.20)
200708HAND GLOVE KARET - CP,200708,HAND GLOVE KARET - CP
200709STICKER THERMAL,200709,STICKER THERMAL
200714APAR POWDER 3KG,200714,APAR POWDER 3KG
200715APAR TIPE K 6KG,200715,APAR TIPE K 6KG
200717PUMP DISPENSER,200717,PUMP DISPENSER
200718DIGITAL CALIPER,200718,DIGITAL CALIPER
200719TIMBANGAN DIGITAL KECIL,200719,TIMBANGAN DIGITAL KECIL
200720PEMATIK KOMPOR,200720,PEMATIK KOMPOR
200721STRAINER BOWL STAINLESS LUBANG BASKOM KECIL,200721,STRAINER BOWL STAINLESS LUBANG BASKOM KECIL
200722TEMPAT SENDOK FELICIA JUMBO,200722,TEMPAT SENDOK FELICIA JUMBO
200725CADDY BAG,200725,CADDY BAG
200726TEMPAT SAMPAH 80 L (TERTUTUP & INJAK),200726,TEMPAT SAMPAH 80 L (TERTUTUP & INJAK)
200727TEMPAT SAMPAH 80L (THAWING ADONAN),200727,TEMPAT SAMPAH 80L (THAWING ADONAN)
200728DUSTBIN STAINLESS BULAT,200728,DUSTBIN STAINLESS BULAT
200729BABY CHAIR,200729,BABY CHAIR
200730MUKENA,200730,MUKENA
200731SARUNG,200731,SARUNG
200732SAJADAH,200732,SAJADAH
200733RAK MUKENA,200733,RAK MUKENA
200734TANGGA 3 METER,200734,TANGGA 3 METER
200735STICK PENGGANTI LAMPU,200735,STICK PENGGANTI LAMPU
200736DISPENSER SABUN KRISBOW,200736,DISPENSER SABUN KRISBOW
200737RAK PENITIPAN BARANG CUSTOMER,200737,RAK PENITIPAN BARANG CUSTOMER
200738AMBRO FLATWARE BASKET,200738,AMBRO FLATWARE BASKET
200739NAMPAN KARET KOTAK (DIMSUM),200739,NAMPAN KARET KOTAK (DIMSUM)
200743APD (HAZMAT),200743,APD (HAZMAT)
200744APRON,200744,APRON
200745JAS LAB,200745,JAS LAB
200746MIKA/CUP DIPPING (V.20),200746,MIKA/CUP DIPPING (V.20)
410003PERALATAN RESTO - EXISTING STORE,410003,PERALATAN RESTO - EXISTING STORE
410004PLN - EXISTING STORE,410004,PLN - EXISTING STORE
410007SPARE PARTS IT COST - EXISTING STORE,410007,SPARE PARTS IT COST - EXISTING STORE
410008SPARE PARTS MESIN / PERALATAN - EXISTING STORE,410008,SPARE PARTS MESIN / PERALATAN - EXISTING STORE
410010MATERIAL BANGUNAN - EXISTING STORE,410010,MATERIAL BANGUNAN - EXISTING STORE
410011PERIZINAN - CP,410011,PERIZINAN - CP
410012PERIZINAN - HO,410012,PERIZINAN - HO
410013PERIZINAN - EXISTING STORE,410013,PERIZINAN - EXISTING STORE
410026BIAYA ONGKOS KIRIM - CP,410026,BIAYA ONGKOS KIRIM - CP
410027BIAYA ONGKOS KIRIM - DC,410027,BIAYA ONGKOS KIRIM - DC
410029BIAYA ONGKOS KIRIM - RESTO,410029,BIAYA ONGKOS KIRIM - RESTO
410030MATERIAL MESIN / PERALATAN - CP,410030,MATERIAL MESIN / PERALATAN - CP
410033SPARE PART MESIN / PERALATAN - DC,410033,SPARE PART MESIN / PERALATAN - DC
410034SPARE PART MESIN / PERALATAN - HO,410034,SPARE PART MESIN / PERALATAN - HO
410038OBAT / PENGOBATAN - HO,410038,OBAT / PENGOBATAN - HO
410039OBAT / PENGOBATAN - CP,410039,OBAT / PENGOBATAN - CP
410040OBAT / PENGOBATAN - DC,410040,OBAT / PENGOBATAN - DC
410041ATK - HO,410041,ATK - HO
410042ATK - CP,410042,ATK - CP
410043ATK - DC,410043,ATK - DC
410051BIAYA KEAMANAN - HO,410051,BIAYA KEAMANAN - HO
410057BIAYA INVENTARIS - CP,410057,BIAYA INVENTARIS - CP
410058BIAYA INVENTARIS - DC,410058,BIAYA INVENTARIS - DC
410059BIAYA INVENTARIS - HO,410059,BIAYA INVENTARIS - HO
410060BIAYA KEBERSIHAN - CP,410060,BIAYA KEBERSIHAN - CP
410061BIAYA KEBERSIHAN - DC,410061,BIAYA KEBERSIHAN - DC
410062BIAYA KEBERSIHAN - HO,410062,BIAYA KEBERSIHAN - HO
410063MATERIAL BANGUNAN - CP,410063,MATERIAL BANGUNAN - CP
410066BIAYA KEBERSIHAN - EXISTING STORE,410066,BIAYA KEBERSIHAN - EXISTING STORE
410068BIAYA KONSUMSI - HO,410068,BIAYA KONSUMSI - HO
410089BIAYA GAS CNG - CP,410089,BIAYA GAS CNG - CP
410093GALON - EXISTING STORE,410093,GALON - EXISTING STORE
410094BIAYA OPERASIONAL LEGAL - EXISTING STORE,410094,BIAYA OPERASIONAL LEGAL - EXISTING STORE
410096BIAYA INVENTARIS LAB - CP,410096,BIAYA INVENTARIS LAB - CP
410098SPARE PART KENDARAAN - CP,410098,SPARE PART KENDARAAN - CP
410099SPARE PART KENDARAAN - DC,410099,SPARE PART KENDARAAN - DC
410104GALON - CP,410104,GALON - CP
410105ES TUBE v.20 - EXISTING STORE,410105,ES TUBE v.20 - EXISTING STORE
410108JASA PEMELIHARAAN MESIN / PERALATAN - EXISTING STORE,410108,JASA PEMELIHARAAN MESIN / PERALATAN - EXISTING STORE
410111CUP - HO,410111,CUP - HO
410113BIAYA GAS CNG - EXISTING STORE,410113,BIAYA GAS CNG - EXISTING STORE
410116JASA INSTALASI MESIN / PERALATAN - EXISTING STORE,410116,JASA INSTALASI MESIN / PERALATAN - EXISTING STORE
410117JASA PEMBANGUNAN / RENOVASI - EXISTING STORE,410117,JASA PEMBANGUNAN / RENOVASI - EXISTING STORE
410118JASA LAND CLEARING OBSTACLE - EXISTING STORE,410118,JASA LAND CLEARING OBSTACLE - EXISTING STORE
410119JASA PEMELIHARAAN INVENTARIS - EXISTING STORE,410119,JASA PEMELIHARAAN INVENTARIS - EXISTING STORE
410120JASA INSTALASI MESIN / PERALATAN - CP,410120,JASA INSTALASI MESIN / PERALATAN - CP
410122JASA INSTALASI MESIN / PERALATAN - HO,410122,JASA INSTALASI MESIN / PERALATAN - HO
410124JASA PEMBANGUNAN / RENOVASI - CP,410124,JASA PEMBANGUNAN / RENOVASI - CP
410128JASA SERVIS KENDARAAN - DC,410128,JASA SERVIS KENDARAAN - DC
410129PEMBANGUNAN NEW CP,410129,PEMBANGUNAN NEW CP
410131BIAYA KONSUMSI - CP,410131,BIAYA KONSUMSI - CP
410135BIAYA PACKAGING - CP,410135,BIAYA PACKAGING - CP
410140BIAYA PENGEMBANGAN - CP,410140,BIAYA PENGEMBANGAN - CP
410141JASA LAINYA PRIBADI - RESTO,410141,JASA LAINYA PRIBADI - RESTO
410142BIAYA PPN,410142,BIAYA PPN
410143SEWA LAINNYA - RESTO,410143,SEWA LAINNYA - RESTO
410144ASET DALAM PENYELESAIAN - RESTO,410144,ASET DALAM PENYELESAIAN - RESTO
410145BIAYA INTERNET - RESTO,410145,BIAYA INTERNET - RESTO
410146BIAYA PERJALANAN DINAS PIHAK KETIGA - RESTO,410146,BIAYA PERJALANAN DINAS PIHAK KETIGA - RESTO
410148JASA LAINNYA BADAN - RESTO,410148,JASA LAINNYA BADAN - RESTO
410149BEBAN SEWA KENDARAAN - CP,410149,BEBAN SEWA KENDARAAN - CP
410150JASA LAINNYA PP23,410150,JASA LAINNYA PP23
410153JASA LAINNYA PRIBADI - HO,410153,JASA LAINNYA PRIBADI - HO
410154JASA LAINNYA BADAN - HO,410154,JASA LAINNYA BADAN - HO
410157JASA LAINNYA PRIBADI - DC,410157,JASA LAINNYA PRIBADI - DC
410158JASA LAINNYA BADAN - DC,410158,JASA LAINNYA BADAN - DC
410159JASA LAINNYA (ORANG PRIBADI) - CP,410159,JASA LAINNYA (ORANG PRIBADI) - CP
410160JASA LAINNYA (BADAN USAHA) - CP,410160,JASA LAINNYA (BADAN USAHA) - CP
410161BEBAN LISTRIK - RESTO,410161,BEBAN LISTRIK - RESTO
410166BEBAN INTERNET - CP,410166,BEBAN INTERNET - CP
410169Spare parts it cost - HO,410169,Spare parts it cost - HO
410170Spare parts it cost - CP,410170,Spare parts it cost - CP
410171Spare parts it cost - DC,410171,Spare parts it cost - DC
410172PDAM - RESTO,410172,PDAM - RESTO
410174ASET DALAM PENYELESAIAN - CP,410174,ASET DALAM PENYELESAIAN - CP
410176BEBAN TELEPON & PULSA - RESTO,410176,BEBAN TELEPON & PULSA - RESTO
410177JASA PEMELIHARAAN INVENTARIS - CP,410177,JASA PEMELIHARAAN INVENTARIS - CP
